Node,x,y,Evacuees
1,98.98986309,18.78041201,22
2,98.99308565,18.79398839,29
3,98.99232149,18.79407558,32
4,98.98126959,18.78768648,91
5,98.98075778,18.78773212,36
6,98.98210217,18.78279848,29
7,98.98278258,18.78277453,16
8,98.99238776,18.78563478,20
9,98.99306066,18.78615364,17
10,98.98029396,18.78775111,37
11,98.99185224,18.78001251,24
12,98.98035817,18.78384396,95
13,98.98629684,18.78466778,37
14,98.9854236,18.78276516,19
15,98.98613425,18.78275801,18
16,98.98049554,18.78311801,44
17,98.98047422,18.78281511,76
18,98.98490164,18.78416211,48
19,98.98459422,18.78483072,47
20,98.9805113,18.789568,69
21,98.98891225,18.78144458,9
22,98.98890853,18.78111461,12
23,98.98895302,18.78144306,1
24,98.97851854,18.79439156,1922
25,98.97848104,18.79349913,104
26,98.98537914,18.78118152,45
27,98.9832565,18.78121826,38
28,98.9824685,18.78781176,66
29,98.98033315,18.78639666,27
30,98.98032748,18.78576505,54
31,98.9898432,18.78227289,50
32,98.98986628,18.78144432,34
33,98.98435449,18.79382868,39
34,98.98507564,18.79369626,51
35,98.99006368,18.79562884,4
36,98.99006034,18.79527559,31
37,98.99012763,18.79220341,159
38,98.99008314,18.7927571,77
39,98.9833614,18.78846608,105
40,98.99494433,18.78341238,129
41,98.98606508,18.79065607,127
42,98.98578339,18.78973593,72
43,98.98631811,18.78424311,30
44,98.98216552,18.78633724,66
45,98.97914304,18.7811561,31
46,98.97937995,18.7811519,9
47,98.99138596,18.79006661,94
48,98.9901468,18.79024963,137
49,98.98871661,18.78309416,33
50,98.98885604,18.78207648,31
51,98.99123482,18.7836685,20
52,98.99163525,18.78386209,36
53,98.98171911,18.78288245,18
54,98.97754538,18.78883522,374
55,98.97785996,18.78902531,47
56,98.99137507,18.78789253,115
57,98.99126927,18.7864395,38
58,98.97960558,18.78577941,47
59,98.9850336,18.78697639,37
60,98.98870836,18.79325861,186
61,98.9933156,18.78986471,18
62,98.99505201,18.79248054,183
63,98.99503922,18.7916894,73
64,98.99191602,18.7864307,43
65,98.98416599,18.78386197,23
66,98.98517405,18.78346362,46
67,98.9881871,18.79448777,141
68,98.98876624,18.79449576,146
69,98.97770865,18.78578506,10
70,98.97771024,18.78582615,157
71,98.98977494,18.79654271,679
72,98.98150369,18.78125607,2
73,98.9812963,18.78126872,15
74,98.99433923,18.79366968,102
75,98.98890251,18.78186079,18
76,98.99105777,18.79293955,89
77,98.98441614,18.78840103,42
78,98.98442351,18.78891538,38
79,98.99109431,18.78531791,25
80,98.99161404,18.78526485,15
81,98.98779019,18.78689619,16
82,98.99092677,18.78102339,27
83,98.99093621,18.78139016,67
84,98.99395169,18.79562091,4
85,98.99397701,18.79578896,258
86,98.99019057,18.78922281,240
87,98.98541857,18.78262835,28
88,98.98538646,18.78149866,1
89,98.99295456,18.78462767,30
90,98.99298793,18.78504946,6
91,98.98984799,18.79563888,5
92,98.98983393,18.79579735,29
93,98.99331399,18.78502582,16
94,98.99323204,18.78372169,61
95,98.98704673,18.78217001,12
96,98.98700875,18.78211481,28
97,98.9848311,18.78966189,29
98,98.9811039,18.78643247,22
99,98.98114816,18.78662963,35
100,98.98441036,18.7896319,94
102,98.97805384,18.79290362,252
103,98.98407226,18.79491486,69
104,98.98408253,18.79485624,39
105,98.99370071,18.79098663,14
106,98.99204159,18.78520545,22
107,98.99299333,18.7851165,1
108,98.99365346,18.79548476,7
109,98.98389318,18.78463917,22
110,98.99505954,18.7910206,113
111,98.9899856,18.79330498,118
112,98.98193848,18.7931168,162
113,98.98190082,18.79358906,49
114,98.97833338,18.77983711,222
115,98.97869256,18.77980783,5
116,98.98125951,18.79309254,63
117,98.99152632,18.79215788,65
118,98.98561486,18.79187457,105
119,98.98263509,18.7838629,33
120,98.98631249,18.78377153,30
121,98.98657192,18.78326273,14
122,98.99357126,18.79393629,16
123,98.99357808,18.79462027,29
124,98.99376817,18.78767067,4
125,98.99453474,18.7876196,124
126,98.98168245,18.79585224,445
127,98.99171779,18.79285163,23
128,98.99150234,18.7928842,34
129,98.97867462,18.77961844,153
130,98.99334227,18.78533082,7
131,98.99332607,18.78514178,3
132,98.99013463,18.79527498,43
133,98.98282794,18.78281055,32
134,98.98709154,18.78648473,51
135,98.98571656,18.78676723,69
136,98.9849308,18.79308123,94
137,98.985801,18.79463001,25
138,98.98649035,18.79471044,64
139,98.99225312,18.79338696,33
140,98.98250384,18.78158873,30
141,98.98322371,18.78156965,18
142,98.98724461,18.79432681,77
143,98.99455576,18.79251866,28
144,98.98566263,18.79466616,26
145,98.99166919,18.79556212,61
146,98.98371827,18.78349103,49
147,98.99014252,18.79074027,65
148,98.98421618,18.7918712,134
149,98.98410019,18.79309457,45
150,98.99401642,18.78673247,38
151,98.99011316,18.78284392,54
152,98.99283621,18.78282109,23
153,98.98035217,18.78906082,73
154,98.98701026,18.7873972,63
155,98.98779658,18.78707735,13
156,98.98154213,18.78163553,14
157,98.9879455,18.78820096,151
158,98.99029263,18.78799132,158
159,98.98680174,18.79514236,28
160,98.986657,18.79531423,4
161,98.99378804,18.79254643,18
162,98.99352425,18.79257405,25
163,98.97906475,18.78640172,30
164,98.97910319,18.78640006,15
165,98.98846857,18.78466504,61
166,98.98832795,18.7856634,99
167,98.98987182,18.77973546,34
168,98.99504196,18.78466668,96
169,98.99354052,18.79300805,29
170,98.97804956,18.79284646,183
171,98.97843156,18.79282261,44
172,98.98242409,18.78757999,76
173,98.99315907,18.78776943,16
174,98.99325423,18.78905669,28
175,98.99366787,18.79048065,7
176,98.98645325,18.79575966,5
177,98.98659844,18.79576724,4
178,98.98205924,18.7857483,52
179,98.98333638,18.7857509,84
180,98.98983911,18.78105693,17
181,98.99146136,18.79171492,113
182,98.9880459,18.78323792,46
183,98.98869918,18.78317436,40
184,98.99112976,18.78608168,24
185,98.98346793,18.78196758,24
186,98.98349281,18.78208495,23
187,98.99039769,18.78333485,36
188,98.98492576,18.7857568,59
189,98.98502697,18.78689109,44
190,98.98412574,18.7957841,578
191,98.97874893,18.78030878,6
192,98.9793775,18.78026486,77
193,98.98577285,18.79422894,57
194,98.98033911,18.78699225,38
195,98.99492387,18.79080057,43
196,98.98053952,18.79552522,1143
197,98.98902853,18.78110837,13
198,98.98901785,18.78144061,11
199,98.99014479,18.79113837,140
200,98.98814631,18.78674312,56
201,98.98810179,18.78699393,28
202,98.9821819,18.79139671,157
203,98.98114228,18.79150409,171
204,98.98801073,18.78755901,88
205,98.9783005,18.78886874,3
206,98.99209242,18.79280467,37
207,98.98568567,18.79357148,54
208,98.9872587,18.78459799,70
209,98.98037215,18.78957763,79
210,98.99172591,18.78572545,21
211,98.99075561,18.78382159,20
212,98.98769272,18.79264296,193
213,98.99036918,18.7861892,51
214,98.99034658,18.78661238,43
215,98.98407023,18.78381156,17
216,98.98247623,18.78947894,107
217,98.98223322,18.79112964,161
218,98.98088857,18.79350591,44
219,98.98092676,18.79306744,71
220,98.98502316,18.79471319,37
221,98.99048679,18.79068566,62
222,98.99139979,18.79049001,85
223,98.99332127,18.78508948,2
224,98.98499508,18.79065791,74
225,98.98432639,18.79066203,154
226,98.97830051,18.78878548,31
227,98.9782262,18.78781502,111
228,98.99493951,18.78230793,259
229,98.98323097,18.77988893,298
230,98.99252475,18.79518369,38
231,98.97836032,18.78572583,23
232,98.98996362,18.79563349,4
233,98.9810667,18.78575536,56
234,98.98168204,18.79552627,66
235,98.98701523,18.78252437,26
236,98.98176955,18.7955206,130
237,98.98177339,18.79584472,416
238,98.97843298,18.79288627,28
239,98.97843225,18.79285365,3
240,98.97810695,18.78579267,8
241,98.97810551,18.78574117,1
242,98.98384248,18.78844262,85
243,98.97770581,18.78570244,53
244,98.97810318,18.78568521,7
245,98.99359336,18.78793384,15
246,98.99384462,18.78792652,16
247,98.99217504,18.78782036,68
248,98.99287017,18.79087967,38
249,98.98501275,18.7944785,36
250,98.98439719,18.7944296,42
251,98.98646335,18.79256376,131
252,98.99282832,18.7826348,4
253,98.99325765,18.78101732,19
254,98.99356794,18.78104664,284
255,98.97808693,18.78509921,42
256,98.98992059,18.77921253,192
257,98.99184974,18.77974392,184
258,98.99424978,18.785326,30
259,98.98311579,18.78475113,17
260,98.98392148,18.78451242,22
261,98.97767876,18.7850482,184
262,98.98413204,18.7823986,54
263,98.99451631,18.78796561,135
264,98.99406366,18.79535564,8
265,98.98785223,18.78924348,154
266,98.99031817,18.78712309,83
267,98.99429359,18.79507691,222
268,98.99390525,18.79507459,10
269,98.99372003,18.79548218,2
270,98.99391342,18.79528571,2
271,98.98782966,18.79066597,307
272,98.98800533,18.78213174,36
273,98.97959591,18.78638952,31
274,98.9794762,18.7935025,123
275,98.98051913,18.7816554,63
276,98.98443742,18.78575388,58
277,98.98634024,18.78928859,96
278,98.99043592,18.78539182,66
279,98.99046435,18.78447737,68
280,98.99273928,18.790432,18
281,98.99300083,18.78117,17
282,98.98530733,18.78834649,42
283,98.99152425,18.78311367,64
284,98.9842333,18.79165297,109
285,98.98329621,18.7852274,33
286,98.98686736,18.79531176,37
287,98.98628209,18.79575975,56
288,98.99384697,18.79366722,16
289,98.99292394,18.78778698,30
290,98.99282221,18.78257523,24
291,98.99315774,18.78255206,5
292,98.98797969,18.78267563,31
293,98.98499302,18.78967343,58
294,98.98781942,18.78974301,59
295,98.99431391,18.7910047,21
296,98.99432428,18.79171461,13
297,98.98645324,18.7958752,41
298,98.99343798,18.79165963,24
299,98.99418564,18.78579966,30
300,98.98781577,18.78980546,92
301,98.98535355,18.78149921,36
302,98.98782701,18.78088629,122
303,98.98697019,18.79575945,211
304,98.98851409,18.78435015,67
305,98.99518808,18.78538711,173
306,98.99185361,18.79555481,40
307,98.99326791,18.79549516,33
308,98.9918271,18.79519995,33
309,98.98170406,18.78949275,152
310,98.98226618,18.78947016,47
311,98.98700338,18.78822085,93
312,98.98165366,18.78226317,35
313,98.98159217,18.78163319,1
314,98.99338686,18.79068486,8
315,98.99140647,18.79521296,78
316,98.98635158,18.78979494,88
317,98.99153306,18.79402741,73
318,98.98266862,18.78206918,29
319,98.97876174,18.78052626,68
320,98.98762345,18.793068,38
321,98.98190037,18.78465385,20
322,98.98190792,18.78470906,39
323,98.98713022,18.78570294,54
324,98.97837037,18.79146097,38
325,98.97836848,18.79142519,42
326,98.99413684,18.78914744,66
327,98.99187019,18.78098925,40
328,98.98043299,18.78936478,16
329,98.9816442,18.78163136,12
330,98.9814469,18.78108258,51
331,98.99337365,18.79049546,2
332,98.993727,18.79154938,8
333,98.9897058,18.79564319,118
334,98.98627769,18.78324886,19
335,98.99005535,18.79448172,119
336,98.98832465,18.78110383,17
337,98.98816058,18.78102323,11
338,98.98087143,18.7938772,73
339,98.98042341,18.79414424,144
340,98.99299724,18.78517191,7
341,98.98442699,18.78915814,46
342,98.99337405,18.78569461,16
343,98.99316057,18.78261059,18
344,98.99101666,18.79425212,98
345,98.99307734,18.78653518,22
346,98.9939237,18.79543509,1
347,98.98412066,18.79542962,73
348,98.97831447,18.7896836,100
349,98.97830092,18.78889349,18
350,98.97992084,18.79285929,188
351,98.98185253,18.78425541,28
352,98.98274717,18.78408988,27
353,98.9864121,18.78466779,22
354,98.98405375,18.79309716,113
355,98.98459696,18.78838531,39
356,98.99447005,18.7916967,12
357,98.98254901,18.78850919,94
358,98.98042572,18.78384071,48
359,98.98408645,18.7938803,26
360,98.98587978,18.79307317,65
361,98.98543163,18.78118086,72
362,98.98540943,18.78149793,8
363,98.98161485,18.78125361,1
364,98.98740537,18.79392621,72
365,98.98579349,18.78148568,52
366,98.98741605,18.78144157,46
367,98.97815107,18.78649169,88
368,98.98116848,18.7910468,159
369,98.98179209,18.78387856,42
370,98.98671866,18.79531663,4
371,98.98666883,18.79576175,12
372,98.97907433,18.78966593,97
373,98.98302181,18.78464676,25
374,98.9863095,18.78571106,66
375,98.98760719,18.79325202,56
376,98.97944664,18.78132296,32
377,98.97786228,18.7886028,28
378,98.97786041,18.78879321,3
379,98.99335905,18.79030305,4
380,98.99465469,18.7902658,111
381,98.99149616,18.79691252,555
382,98.98647868,18.79306629,82
383,98.99079526,18.78793931,80
384,98.97797766,18.79144895,379
385,98.99013605,18.79562355,67
386,98.99437555,18.78215161,55
387,98.98248718,18.78930203,55
388,98.99367079,18.79039879,3
389,98.98170502,18.78125135,15
390,98.98797422,18.78698764,3
391,98.99272356,18.78100239,25
392,98.97911353,18.78576157,48
393,98.99318847,18.79040398,7
394,98.97802923,18.78416943,436
395,98.98560342,18.79065929,52
396,98.99263212,18.78925975,21
397,98.98469279,18.78266189,44
398,98.98653948,18.79531926,23
399,98.97953824,18.78776627,84
400,98.9935918,18.78923729,18
401,98.9784152,18.79199813,113
402,98.98635092,18.79707914,1002
403,98.99158385,18.78345062,17
404,98.98506054,18.79538396,113
405,98.98519434,18.78789199,35
406,98.98513476,18.78766078,40
407,98.98372909,18.79395076,154
408,98.9869571,18.78329039,42
409,98.99348824,18.78678087,19
410,98.99196067,18.78999647,45
411,98.99222059,18.78914519,83
412,98.97786564,18.78890178,3
413,98.99314237,18.78229567,27
414,98.99343759,18.79155662,12
415,98.9904978,18.78364825,28
416,98.97909972,18.79050195,184
417,98.98573086,18.79535302,67
418,98.98549243,18.78833868,59
419,98.98632286,18.7882789,93
420,98.98560677,18.79148658,87
421,98.97833119,18.79054349,145
422,98.9818837,18.7937568,141
423,98.9813565,18.78291399,35
424,98.99320256,18.79676837,368
425,98.99373936,18.79172598,11
426,98.97922087,18.78133027,107
427,98.98781818,18.78111667,12
428,98.98632579,18.7825204,30
429,98.99266378,18.78992772,18
430,98.99366506,18.79028287,14
431,98.99374976,18.78760908,14
432,98.99133488,18.78474898,37
